Neighborhood,Population
Franz Park,2260
Tiffany,915
Botanical Heights,1196
Kings Oak,167
Cheltenham,1260
Clayton-Tamm,2348
Forest Park South East,3458
Hi-Pointe,2151
Midtown,6862
Jeff Vanderlou,4209
Wydown Skinker,1121
Covenant Blu-Grand Center,3041
Central West End,16670
Vandeventer,2041
Visitation Park,924
Lewis Place,1359
Fountain Park,1075
The Ville,1427
Academy,2355
Fairground Park,12
West End,6846
Greater Ville,4545
Fairground Neighborhood,1157
Hamilton Heights,2187
Kingsway East,2502
Kingsway West,2604
Patch,2842
Carondelet Park,15
Carondelet,7734
Holly Hills,3647
Boulevard Heights,8690
Mount Pleasant,4376
Princeton Heights,7364
St. Louis Hills,7516
Willmore Park,1
Dutchtown,15356
Bevo Mill,11941
Southampton,6647
Marine Villa,2530
Gravois Park,4683
North Hampton,7489
Benton Park West,4238
Tower Grove South,12719
Lindenwood Park,9387
Benton Park,3581
Tower Grove Park,7
Tower Grove East,5708
McKinley Heights,1668
Soulard,3831
Fox Park,2545
Compton Heights,1396
Kosciusko,52
Shaw,6919
Southwest Garden,5245
Clifton Heights,2836
LaSalle Park,1088
Peabody Darst Webbe,2443
Lafayette Square,2164
Ellendale,1385
The Hill,2487
The Gate District,3419
College Hill,1243
O'Fallon,4342
O'Fallon Park,0
Penrose,5243
Wells Goodfellow,4473
Mark Twain,3257
Mark Twain I-70 Industrial,902
Walnut Park East,2757
Walnut Park West,2561
North Pointe,3396
North Riverfront,154
Baden,5465
Riverview,242
Forest Park,50
DeBaliviere Place,3651
Skinker DeBaliviere,3899
Downtown,5442
Near North Riverfront,395
Columbus Square,1978
Old North St. Louis,1488
Carr Square,2236
Hyde Park,2271
St. Louis Place,2336
Downtown West,5115
Missouri Botanical Garden,3
Penrose Park,22
Bellefontaine/Calvary Cemetery,0
Unallocated - Awaiting CQR,16
